ds,y,Volume
2013-05-01,3299.129883,1.8846
2013-05-02,3340.620117,1.75748
2013-05-03,3378.629883,1.74557
2013-05-06,3392.969971,1.50041
2013-05-07,3396.629883,1.7098
2013-05-08,3413.27002,1.7564
2013-05-09,3409.169922,1.82622
2013-05-10,3436.580078,1.68973
2013-05-13,3438.790039,1.61551
2013-05-14,3462.610107,1.82052
2013-05-15,3471.620117,1.84391
2013-05-16,3465.23999,1.94576
2013-05-17,3498.969971,1.82861
2013-05-20,3496.429932,1.74526
2013-05-21,3502.120117,1.77678
2013-05-22,3463.300049,2.17933
2013-05-23,3459.419922,1.82067
2013-05-24,3459.139893,1.44921
2013-05-28,3488.889893,1.74807
2013-05-29,3467.52002,1.79465
2013-05-30,3491.300049,1.73732
2013-05-31,3455.909912,1.96827
2013-06-03,3465.370117,2.0541
2013-06-04,3445.26001,1.87164
2013-06-05,3401.47998,1.81389
2013-06-06,3424.050049,1.8027
2013-06-07,3469.219971,1.64681
2013-06-10,3473.77002,1.55652
2013-06-11,3436.949951,1.56037
2013-06-12,3400.429932,1.6302
2013-06-13,3445.360107,1.58474
2013-06-14,3423.560059,1.45803
2013-06-17,3452.129883,1.58183
2013-06-18,3482.179932,1.67509
2013-06-19,3443.199951,1.6492
2013-06-20,3364.639893,2.0415
2013-06-21,3357.25,2.9219
2013-06-24,3320.76001,2.03096
2013-06-25,3347.889893,1.65728
2013-06-26,3376.219971,1.67128
2013-06-27,3401.860107,1.6898
2013-06-28,3403.25,3.63041
2013-07-01,3434.48999,1.58675
2013-07-02,3433.399902,1.68519
2013-07-03,3443.669922,0.93598
2013-07-05,3479.379883,1.2544
2013-07-08,3484.830078,1.52172
2013-07-09,3504.26001,1.63352
2013-07-10,3520.76001,1.56734
2013-07-11,3578.300049,1.74421
2013-07-12,3600.080078,1.61582
2013-07-15,3607.48999,1.44913
2013-07-16,3598.5,1.59054
2013-07-17,3610.0,1.56434
2013-07-18,3611.280029,1.71939
2013-07-19,3587.610107,1.78546
2013-07-22,3600.389893,1.50701
2013-07-23,3579.27002,1.62035
2013-07-24,3579.600098,1.85666
2013-07-25,3605.189941,2.20397
2013-07-26,3613.159912,1.79606
2013-07-29,3599.139893,1.54572
2013-07-30,3616.469971,1.76358
2013-07-31,3626.370117,1.94238
2013-08-01,3675.73999,1.86329
2013-08-02,3689.590088,1.68327
2013-08-05,3692.949951,1.47186
2013-08-06,3665.77002,1.4442
2013-08-07,3654.01001,1.65978
2013-08-08,3669.120117,1.70295
2013-08-09,3660.110107,1.54657
2013-08-12,3669.949951,1.42242
2013-08-13,3684.439941,1.64473
2013-08-14,3669.27002,1.58937
2013-08-15,3606.120117,1.74251
2013-08-16,3602.780029,1.52043
2013-08-19,3589.090088,1.38105
2013-08-20,3613.590088,1.30828
2013-08-21,3599.790039,1.43851
2013-08-22,3638.709961,0.9274
2013-08-23,3657.790039,1.49989
2013-08-26,3657.570068,1.40423
2013-08-27,3578.52002,1.64004
2013-08-28,3593.350098,1.37065
2013-08-29,3620.300049,1.3449
2013-08-30,3589.870117,1.32832
2013-09-03,3612.610107,1.62881
2013-09-04,3649.040039,1.85598
2013-09-05,3658.780029,1.55018
2013-09-06,3660.01001,1.64731
2013-09-09,3706.179932,1.66429
2013-09-10,3729.02002,1.84257
2013-09-11,3725.01001,1.72238
2013-09-12,3715.969971,1.65386
2013-09-13,3722.179932,1.46019
2013-09-16,3717.850098,1.5425
2013-09-17,3745.699951,1.3388
2013-09-18,3783.639893,1.82882
2013-09-19,3789.379883,1.77598
2013-09-20,3774.72998,2.71127
2013-09-23,3765.290039,1.72862
2013-09-24,3768.25,1.81095
2013-09-25,3761.100098,1.82179
2013-09-26,3787.429932,1.81796
2013-09-27,3781.590088,1.69972
2013-09-30,3771.47998,1.89576
2013-10-01,3817.97998,1.84332
2013-10-02,3815.02002,1.79298
2013-10-03,3774.340088,1.88434
2013-10-04,3807.75,1.5496
2013-10-07,3770.379883,1.47599
2013-10-08,3694.830078,2.08758
2013-10-09,3677.780029,2.2427
2013-10-10,3760.75,1.90241
2013-10-11,3791.870117,1.75035
2013-10-14,3815.280029,1.45516
2013-10-15,3794.01001,1.74556
2013-10-16,3839.429932,1.744
2013-10-17,3863.149902,1.97514
2013-10-18,3914.280029,1.94309
2013-10-21,3920.050049,1.67447
2013-10-22,3929.570068,1.8905
2013-10-23,3907.070068,1.91503
2013-10-24,3928.959961,2.05435
2013-10-25,3943.360107,2.22578
2013-10-28,3940.129883,1.90481
2013-10-29,3952.340088,1.89738
2013-10-30,3930.620117,1.923
2013-10-31,3919.709961,2.13965
2013-11-01,3922.040039,1.94946
2013-11-04,3936.590088,1.81788
2013-11-05,3939.860107,1.93463
2013-11-06,3931.949951,2.02016
2013-11-07,3857.330078,2.30332
2013-11-08,3919.22998,1.98174
2013-11-11,3919.790039,1.59534
2013-11-12,3919.919922,1.77686
2013-11-13,3965.580078,1.82722
2013-11-14,3972.73999,1.96535
2013-11-15,3985.969971,1.89915
2013-11-18,3949.070068,1.82987
2013-11-19,3931.550049,1.74784
2013-11-20,3921.27002,1.72116
2013-11-21,3969.159912,1.68425
2013-11-22,3991.649902,1.73028
2013-11-25,3994.570068,1.79576
2013-11-26,4017.75,1.90768
2013-11-27,4044.75,1.47702
2013-11-29,4059.889893,0.8535
2013-12-02,4045.26001,1.68038
2013-12-03,4037.199951,1.87501
2013-12-04,4038.0,1.88697
2013-12-05,4033.169922,1.88095
2013-12-06,4062.52002,1.72713
2013-12-09,4068.75,1.71712
2013-12-10,4060.48999,1.86486
2013-12-11,4003.810059,1.92352
2013-12-12,3998.399902,1.89327
2013-12-13,4000.97998,1.61534
2013-12-16,4029.52002,1.94383
2013-12-17,4023.679932,1.86113
2013-12-18,4070.060059,2.17833
2013-12-19,4058.139893,1.81305
2013-12-20,4104.740234,3.51042
2013-12-23,4148.899902,1.7794
2013-12-24,4155.419922,0.80227
2013-12-26,4167.180176,1.18067
2013-12-27,4156.589844,1.25502
2013-12-30,4154.200195,1.34947
2013-12-31,4176.589844,1.40114
2014-01-02,4143.069824,1.73882
2014-01-03,4131.910156,1.66748
2014-01-06,4113.680176,2.29284
2014-01-07,4153.180176,2.27822
2014-01-08,4165.609863,2.34522
2014-01-09,4156.189941,2.21477
2014-01-10,4174.669922,2.14307
2014-01-13,4113.299805,2.32224
2014-01-14,4183.02002,2.03418
2014-01-15,4214.879883,2.10187
2014-01-16,4218.689941,2.00585
2014-01-17,4197.580078,2.15037
2014-01-21,4225.759766,2.03403
2014-01-22,4243.0,2.02691
2014-01-23,4218.879883,2.19198
2014-01-24,4128.169922,2.48947
2014-01-27,4083.610107,2.39828
2014-01-28,4097.959961,2.09118
2014-01-29,4051.429932,2.23185
2014-01-30,4123.129883,2.16841
2014-01-31,4103.879883,2.30057
2014-02-03,3996.959961,2.61703
2014-02-04,4031.52002,2.17336
2014-02-05,4011.550049,2.16836
2014-02-06,4057.120117,1.9427
2014-02-07,4125.859863,2.05585
2014-02-10,4148.169922,1.81197
2014-02-11,4191.049805,1.99395
2014-02-12,4201.290039,2.03589
2014-02-13,4240.669922,2.24999
2014-02-14,4244.02002,1.88151
2014-02-18,4272.779785,1.88621
2014-02-19,4237.950195,1.95672
2014-02-20,4267.549805,1.99278
2014-02-21,4263.410156,2.13825
2014-02-24,4292.970215,2.1613
2014-02-25,4287.589844,2.13715
2014-02-26,4292.060059,2.10827
2014-02-27,4318.930176,2.04916
2014-02-28,4308.120117,2.61773
2014-03-03,4277.299805,2.0775
2014-03-04,4351.970215,2.47785
2014-03-05,4357.970215,2.21598
2014-03-06,4352.129883,2.13626
2014-03-07,4336.220215,2.17556
2014-03-10,4334.450195,2.11161
2014-03-11,4307.189941,2.47778
2014-03-12,4323.330078,2.13188
2014-03-13,4260.419922,2.3836
2014-03-14,4245.399902,2.19689
2014-03-17,4279.950195,1.81041
2014-03-18,4333.310059,1.96289
2014-03-19,4307.600098,1.99275
2014-03-20,4319.290039,1.84727
2014-03-21,4276.790039,3.24574
2014-03-24,4226.390137,2.43465
2014-03-25,4234.27002,2.27076
2014-03-26,4173.580078,2.45546
2014-03-27,4151.22998,2.27065
2014-03-28,4155.759766,2.02984
2014-03-31,4198.990234,2.09085
2014-04-01,4268.040039,2.15313
2014-04-02,4276.459961,2.1871
2014-04-03,4237.740234,2.06737
2014-04-04,4127.72998,2.62127
2014-04-07,4079.75,2.55468
2014-04-08,4112.990234,2.1989
2014-04-09,4183.899902,1.95756
2014-04-10,4054.110107,2.42121
2014-04-11,3999.72998,2.26448
2014-04-14,4022.689941,1.89048
2014-04-15,4034.159912,2.41311
2014-04-16,4086.22998,1.86311
2014-04-17,4095.52002,1.95472
2014-04-21,4121.549805,1.54444
2014-04-22,4161.459961,1.87593
2014-04-23,4126.970215,1.79476
2014-04-24,4148.339844,2.13087
2014-04-25,4075.560059,2.08714
2014-04-28,4074.399902,2.34832
2014-04-29,4103.540039,1.91124
2014-04-30,4114.560059,2.1514
2014-05-01,4127.450195,2.07704
2014-05-02,4123.899902,1.84479
2014-05-05,4138.060059,1.56117
2014-05-06,4080.76001,1.85061
2014-05-07,4067.669922,2.48603
2014-05-08,4051.5,2.41194
2014-05-09,4071.870117,1.97616
2014-05-12,4143.859863,1.88002
2014-05-13,4130.169922,1.92348
2014-05-14,4100.629883,1.76443
2014-05-15,4069.290039,2.08303
2014-05-16,4090.590088,1.74107
2014-05-19,4125.810059,1.6014
2014-05-20,4096.890137,1.79791
2014-05-21,4131.540039,1.7035
2014-05-22,4154.339844,1.83581
2014-05-23,4185.810059,1.53661
2014-05-27,4237.069824,1.81233
2014-05-28,4225.080078,1.78514
2014-05-29,4247.950195,1.714
2014-05-30,4242.620117,1.90366
2014-06-02,4237.200195,1.63131
2014-06-03,4234.080078,1.71864
2014-06-04,4251.640137,1.61009
2014-06-05,4296.22998,1.92675
2014-06-06,4321.399902,1.61665
2014-06-09,4336.240234,1.78306
2014-06-10,4338.0,1.78712
2014-06-11,4331.930176,1.77846
2014-06-12,4297.629883,1.90819
2014-06-13,4310.649902,1.75456
2014-06-16,4321.100098,1.67512
2014-06-17,4337.22998,1.81436
2014-06-18,4362.839844,1.86066
2014-06-19,4359.330078,1.84546
2014-06-20,4368.040039,2.72138
2014-06-23,4368.680176,1.71293
2014-06-24,4350.350098,2.0147
2014-06-25,4379.759766,1.72282
2014-06-26,4379.049805,1.55407
2014-06-27,4397.930176,3.96493
2014-06-30,4408.180176,1.84811
2014-07-01,4458.649902,1.94255
2014-07-02,4457.72998,1.59948
2014-07-03,4485.930176,1.00173
2014-07-07,4451.529785,1.69139
